run_id,scenario,loss_percent,truth_count,detector_alerts,zeek_alerts,suricata_alerts,detector_recall_pct,zeek_recall_pct,suricata_recall_pct
20260428T011026Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T011227Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T011429Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T030447Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T030704Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T030920Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T031137Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T031354Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T031610Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T031825Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T032042Z,reliability-arp-mitm-dns,0,8,8,8,8,100.000,100.000,100.000
20260428T032257Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T111134Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T114505Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T114707Z,reliability-arp-mitm-dns,0,9,9,9,9,100.000,100.000,100.000
20260428T011645Z,reliability-arp-mitm-dns,10,9,8,8,8,88.889,88.889,88.889
20260428T011847Z,reliability-arp-mitm-dns,10,9,9,9,9,100.000,100.000,100.000
20260428T012049Z,reliability-arp-mitm-dns,10,9,7,7,7,77.778,77.778,77.778
20260428T032514Z,reliability-arp-mitm-dns,10,9,9,9,9,100.000,100.000,100.000
20260428T032722Z,reliability-arp-mitm-dns,10,8,6,6,6,75.000,75.000,75.000
20260428T032925Z,reliability-arp-mitm-dns,10,9,8,8,8,88.889,88.889,88.889
20260428T033126Z,reliability-arp-mitm-dns,10,9,7,7,7,77.778,77.778,77.778
20260428T033327Z,reliability-arp-mitm-dns,10,9,7,7,7,77.778,77.778,77.778
20260428T033529Z,reliability-arp-mitm-dns,10,9,8,8,8,88.889,88.889,88.889
20260428T033731Z,reliability-arp-mitm-dns,10,9,8,8,8,88.889,88.889,88.889
20260428T033933Z,reliability-arp-mitm-dns,10,9,9,9,9,100.000,100.000,100.000
20260428T034136Z,reliability-arp-mitm-dns,10,9,7,7,7,77.778,77.778,77.778
20260428T111944Z,reliability-arp-mitm-dns,10,8,8,8,8,100.000,100.000,100.000
20260428T114910Z,reliability-arp-mitm-dns,10,8,8,8,8,100.000,100.000,100.000
