loss_percent,dns_detector,dns_zeek,dns_suricata,dhcp_detector,dhcp_zeek,dhcp_suricata
0,100.0,100.0,100.0,100.0,100.0,100.0
10,100.0,100.0,100.0,100.0,100.0,100.0
20,100.0,100.0,100.0,100.0,100.0,100.0
30,100.0,100.0,100.0,100.0,100.0,100.0
40,100.0,100.0,100.0,100.0,100.0,100.0
50,100.0,100.0,100.0,100.0,100.0,100.0
60,100.0,100.0,100.0,100.0,100.0,100.0
70,100.0,100.0,100.0,100.0,100.0,100.0
80,86.66666666666667,100.0,100.0,100.0,100.0,100.0
90,46.666666666666664,66.66666666666666,66.66666666666666,100.0,100.0,100.0
100,0.0,0.0,0.0,0.0,0.0,0.0
